Organization,Organization Name URL,Categories,Headquarters,Regions,Founded,Date_Period,ExitDate,ExitDatePrecision,LastFundingDate,LastFundingAmount,LastFundingAmountCurrency,LastFundingAmountUSD,LastFundingType,LastEquityFundingAmount,LastEquityFundingAmountCurrency,LastEquityFundingAmountUSD,FundingStatus,Top5Investors,NumberInvestors
LifeDoor,https://www.crunchbase.com/organization/lifedoor,"Internet of Things, Security, Smart Home","Blaine, Washington, United States","West Coast, Western US",2017-01-10,day,,,2018-03-15,215000,USD,215000,Seed,215000,USD,215000,Seed,,
Aiculus,https://www.crunchbase.com/organization/aiculus,"Big Data, CRM, Information Technology, Machine Learning, Security","Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia",2017-10-09,day,,,2017-12-16,50000,AUD,38234,Seed,50000,AUD,38234,Seed,CyRise,1
Kirobo,https://www.crunchbase.com/organization/kirobo,"Blockchain, Cryptocurrency, Security","Tel Aviv, Tel Aviv, Israel",,2017-11-01,day,,,2018-02-01,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,,
Fascent technologies,https://www.crunchbase.com/organization/fascent-technologies,"Big Data, Cloud Data Services, Consumer Applications, Cyber Security, Enterprise Applications, Enterprise Software, Information Technology, Internet, Internet of Things, Mobile Advertising, Mobile Apps, Network Security, Security, Software, Web Development","Hyderabad, Andhra Pradesh, India",Asia-Pacific (APAC),2017-12-01,month,,,2018-02-01,1000000,INR,15650,Seed,1000000,INR,15650,Seed,"Pallavi beku, Sreenivas Beku",2
LockState,https://www.crunchbase.com/organization/lockstate,"Internet of Things, Manufacturing, Security, Smart Home","Denver, Colorado, United States","Greater Denver Area, Western US",2004-01-01,year,,,2018-05-22,5800000,USD,5800000,Series A,5800000,USD,5800000,Early Stage Venture,"Iron Gate Capital (IGC), Kozo Keikaku Engineering, Nelnet, Service Provider Capital",4
MindDust Labs LLC,https://www.crunchbase.com/organization/minddust-labs,"Artificial Intelligence, Augmented Reality, Cloud Computing, Computer Vision, Consulting, Data Center Automation, Intellectual Property, Internet of Things, Machine Learning, Penetration Testing, Public Safety, Security, Smart Building, Smart Home, Virtual Reality, Wearables","Globel, Bohinj Commune, Slovenia",European Union (EU),2017-01-01,year,,,2017-10-31,5000000,USD,5000000,Seed,5000000,USD,5000000,Seed,Kris Kitchen,1
Apility.io,https://www.crunchbase.com/organization/apility-io,"Big Data, Cyber Security, Developer APIs, Reputation","Tallinn, Harjumaa, Estonia",European Union (EU),2017-10-01,day,,,2017-12-01,500000,EUR,594649,Seed,500000,EUR,594649,Seed,,
Bequant,https://www.crunchbase.com/organization/bequant,"Network Security, Telecommunications, Wireless","Madrid, Madrid, Spain",European Union (EU),2012-01-01,year,,,2017-09-12,1800000,EUR,2154942,Seed,1800000,EUR,2154942,Seed,Inveready Technology Investment Group,1
MTCaptcha,https://www.crunchbase.com/organization/mtcaptcha,"Analytics, Cyber Security, SaaS","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-06-01,day,,,2018-06-01,250000,USD,250000,Pre-Seed,250000,USD,250000,Seed,,
Zuul IoT,https://www.crunchbase.com/organization/zuul-iot,"Internet of Things, Network Security","Columbia, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2016-01-01,year,,,2018-01-09,300000,USD,300000,Seed,300000,USD,300000,Seed,"MasterPeace LaunchPad, TEDCO",2
Cryptolab Inc.,https://www.crunchbase.com/organization/cryptolab-inc,"Cloud Computing, Cyber Security, Information and Communications Technology (ICT), Search Engine","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-02-24,day,,,2017-08-29,300000,USD,300000,Seed,300000,USD,300000,Seed,Green Arrow Capital,1
REACH,https://www.crunchbase.com/organization/livemed,"Business Information Systems, Customer Service, Digital Signage, Enterprise Software, Identity Management, Information Services, SaaS","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,day,,,2018-04-23,3500000,USD,3500000,Series A,3500000,USD,3500000,Early Stage Venture,"David Litvak, Eddy Shalev, Kaplan, Naim & Co. Ltd., NFX, UpWest Labs",9
Threshing Floor,https://www.crunchbase.com/organization/threshing-floor,"Artificial Intelligence, Computer, Cyber Security, Network Security","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",2017-01-01,year,,,2018-06-11,100000,USD,100000,Seed,100000,USD,100000,Seed,Entrepreneurs Roundtable Accelerator,1
Sunny Valley Networks,https://www.crunchbase.com/organization/sunny-valley-networks,"Cloud Security, Embedded Software, Network Security, Security, Software","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2017-02-15,day,,,2017-12-15,404000,USD,404000,Seed,404000,USD,404000,Seed,Arché Assets International,1
Smart Orbis,https://www.crunchbase.com/organization/smart-orbis,"Analytics, Cloud Security, Cyber Security, Information Technology, Network Security, Security","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,day,,,2017-07-01,,,,Venture - Series Unknown,,,,,"Arise Ventures, Nautica, String Ventures",3
CONNAX,https://www.crunchbase.com/organization/connax,"Cyber Security, Information Technology, Internet of Things, Telecommunications","Helsinki, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",2016-01-01,year,,,2017-10-15,15000,EUR,17721,Seed,15000,EUR,17721,Seed,Icebreaker.vc,1
EhEye,https://www.crunchbase.com/organization/eheye,"Public Safety, Security, Software","Saint John, New Brunswick, Canada",,2016-01-01,year,2018-11-27,day,2018-01-15,380000,USD,380000,Seed,380000,USD,380000,M&A,"Business Development Bank of Canada, New Brunswick Innovation Foundation",2
Airborne Wireless Network,https://www.crunchbase.com/organization/airborne-wireless-network,"Network Security, Software, Wireless","Simi Valley, California, United States","Greater Los Angeles Area, West Coast, Western US",,,2017-09-12,day,2018-05-29,8000000,USD,8000000,Post-IPO Equity,8000000,USD,8000000,IPO,,
Ultra Auth,https://www.crunchbase.com/organization/deauthorized,"Biometrics, Cyber Security, Identity Management, Information Technology, SaaS, Software","Austin, Texas, United States",Southern US,2017-08-01,month,,,2017-10-04,40000,USD,40000,Pre-Seed,40000,USD,40000,Seed,,
CopsForHire,https://www.crunchbase.com/organization/copsforhire,"Law Enforcement, Legal, Security","Issaquah, Washington, United States","Greater Seattle Area, West Coast, Western US",2013-01-20,day,,,2017-10-31,841008,USD,841008,Venture - Series Unknown,841008,USD,841008,,,
Kolide,https://www.crunchbase.com/organization/kolide,"Cyber Security, Database, Enterprise Software, Infrastructure","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2016-06-27,day,,,2018-04-16,8000000,USD,8000000,Series A,8000000,USD,8000000,Early Stage Venture,Matrix Partners,1
Wispero,https://www.crunchbase.com/organization/wispero,"Big Data, Cyber Security, Information Technology, Security","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2016-09-01,month,,,2018-04-16,105000,USD,105000,Seed,105000,USD,105000,Seed,,
Jutubao,https://www.crunchbase.com/organization/jutu,"Network Security, Online Portals, Transaction Processing","Chongqing, Heilongjiang, China",Asia-Pacific (APAC),,,,,2018-04-25,15900000,USD,15900000,Series B,15900000,USD,15900000,Early Stage Venture,"Puchao Capital, Vertex Ventures, Vertex Ventures China, Warp Speed ​​Capital, Z&H Investment",6
Bravatek,https://www.crunchbase.com/organization/bravatek,"Cyber Security, Internet, Security, Software","Austin, Texas, United States",Southern US,2006-01-01,year,,,2018-05-07,500000,USD,500000,Venture - Series Unknown,500000,USD,500000,,TRITON FUNDS LLC,1
Maxify Startup Studio,https://www.crunchbase.com/organization/maxify-startup-studio,"Digital Media, Security","Malmö, Skane Lan, Sweden","European Union (EU), Nordic Countries, Scandinavia",,,,,2018-04-19,10000000,SEK,1189354,Venture - Series Unknown,10000000,SEK,1189354,,,
Good Returns Group,https://www.crunchbase.com/organization/good-returns-group,"Finance, Financial Services, Network Security","Dallas, Texas, United States","Dallas/Fort Worth Metroplex, Southern US",2014-01-01,year,,,2018-04-10,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,Inverdale Capital Management,1
Kolos,https://www.crunchbase.com/organization/kolos-2,"Data Center, Information Technology, Innovation Management, Renewable Energy, Security","Norwegen, Niedersachsen, Germany",European Union (EU),2013-01-01,year,,,2017-09-14,2500000,USD,2500000,Venture - Series Unknown,2500000,USD,2500000,,,
Fraudmarc,https://www.crunchbase.com/organization/fraudmarc,"Cyber Security, Email, Software","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2015-01-01,year,,,2017-08-15,100000,USD,100000,Convertible Note,,,,,"Right Side Capital Management, Techstars, Techstars Atlanta, in partnership with Cox Enterprises",3
Uppsala Foundation,https://www.crunchbase.com/organization/uppsala-foundation,"Artificial Intelligence, Blockchain, Cyber Security, Fraud Detection, Machine Learning, Network Security, Security","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,,,2018-05-29,8000000,USD,8000000,Initial Coin Offering,8000000,USD,8000000,,,
eFirma.com,https://www.crunchbase.com/organization/firmale-com,"Big Data, Consulting, Document Management, E-Signature, Government, Identity Management, Internet, Software","Mexico City, Distrito Federal, Mexico",,2015-11-01,month,,,2017-12-10,1300000,MXN,68594,Pre-Seed,1300000,MXN,68594,Seed,Lightcone Group,1
Lieluobo,https://www.crunchbase.com/organization/lieluobo,"Artificial Intelligence, Recruiting, Security","Shanghai, Shanghai, China",Asia-Pacific (APAC),2017-01-01,year,,,2017-11-30,15000000,USD,15000000,Angel,15000000,USD,15000000,Seed,,
Nerd Junkie Inc,https://www.crunchbase.com/organization/nerd-junkie-inc,"Cyber Security, Developer APIs, Digital Media, Enterprise Applications, Gaming, Internet of Things, Publishing, Retail, Retail Technology, Web Development, Wireless","Tampa, Florida, United States","Tampa Bay Area, East Coast, Southern US",2014-12-11,day,,,2018-04-17,,,,Seed,,,,Seed,"Davaughn Larmond, Eberle Francois Jr",2
Hubrix,https://www.crunchbase.com/organization/hubrix,"Cloud Computing, Developer APIs, Information Technology, Security, Software","Paris, Ile-de-France, France",European Union (EU),2016-09-23,day,,,2017-12-29,143706,EUR,172432,Seed,143706,EUR,172432,Seed,Bruce Page,1
Templarbit,https://www.crunchbase.com/organization/templarbit,"Apps, Cyber Security, Information Technology","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-01-01,year,,,2018-02-21,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,"205 Capital, Lightspeed Venture Partners, Oleg Rogynskyy, Tech Coast Angels, Y Combinator",7
Circadian Risk Inc.,https://www.crunchbase.com/organization/circadian-risk-inc,"Apps, Security, Software","Ann Arbor, Michigan, United States","Great Lakes, Midwestern US",2016-05-05,day,,,2018-03-01,300000,USD,300000,Seed,300000,USD,300000,Seed,,
KIWATCH,https://www.crunchbase.com/organization/kiwatch,"Hardware, Internet, Security, Software","Orvault, Pays de la Loire, France",European Union (EU),2011-01-27,day,,,2018-01-08,3000000,EUR,3591021,Venture - Series Unknown,3000000,EUR,3591021,,"Entrepreneur Venture, Groupe Siparex, Pays de la Loire Participations",3
CyCognito,https://www.crunchbase.com/organization/cycognito,"Cyber Security, Network Security","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2018-01-01,year,,,2018-01-01,,,,Seed,,,,Seed,"Sorenson Capital, UpWest Labs",2
LoopKey,https://www.crunchbase.com/organization/loopkey,"Cyber Security, Hardware, Internet of Things, Mobile Devices","Brasília, Rio Grande do Norte, Brazil",,2016-01-01,day,,,2018-03-01,200000,USD,200000,Seed,200000,USD,200000,Seed,,
AURA,https://www.crunchbase.com/organization/aura-dae7,"CRM, Information Technology, Security","Johannesburg, NA - South Africa, South Africa",,,,,,2018-05-29,6000000,ZAR,472656,Seed,6000000,ZAR,472656,Seed,HAVAÍC,1
inCyber Compliance,https://www.crunchbase.com/organization/incyber-compliance,"Cloud Security, Compliance, Cyber Security, GovTech, Privacy, Risk Management, Security","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2017-01-01,day,,,2018-03-15,50000,USD,50000,Pre-Seed,50000,USD,50000,Seed,,
SecureLink,https://www.crunchbase.com/organization/securelink-us,"Information Technology, Security, Software","Austin, Texas, United States",Southern US,2003-02-27,day,,,2017-08-16,,,,Private Equity,,,,Private Equity,Vista Equity Partners,1
Bibu Labs,https://www.crunchbase.com/organization/bibu-labs,"Computer, Cyber Security, Enterprise, Software","Kitchener, Ontario, Canada",Great Lakes,2017-03-01,month,,,2018-03-28,25000,USD,25000,Grant,80000,CAD,62141,Seed,Velocity,1
Faceter,https://www.crunchbase.com/organization/faceter,"Analytics, Artificial Intelligence, Facial Recognition, SaaS, Security, Smart Building, Smart Home","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-08,day,,,2018-02-07,28610352,USD,28610352,Initial Coin Offering,28610352,USD,28610352,,James Sowers,1
Exeon Analytics,https://www.crunchbase.com/organization/exeon-analytics,Cyber Security,"Zürich, Zurich, Switzerland",,2016-01-01,year,,,2017-08-29,100000,CHF,104622,Seed,100000,CHF,104622,Seed,Venture Kick,1
Indeco,https://www.crunchbase.com/organization/indeco,"Blockchain, Internet, Security, Service Industry","Reston, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2017-01-01,year,,,2018-01-13,171287,USD,171287,Equity Crowdfunding,171287,USD,171287,,StartEngine,1
iNVend,https://www.crunchbase.com/organization/invend,"Homeland Security, Identity Management, Security","Moscow, Moscow City, Russian Federation",,,,,,2018-03-20,9000000,RUB,156416,Seed,9000000,RUB,156416,Seed,"Mikhail Chuchkevich, Moscow Seed Fund",2
PENTESTON,https://www.crunchbase.com/organization/penteston-2,"Cyber Security, Information Services, Penetration Testing, SaaS, Security, Skill Assessment","West Caldwell, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2018-06-11,500000,USD,500000,Convertible Note,,,,,,
Prosa Security,https://www.crunchbase.com/organization/prosa-security,"Consulting, Cyber Security, Information Technology","Oslo, Oslo, Norway","Nordic Countries, Scandinavia",2015-01-01,year,,,2018-02-01,50000,EUR,62554,Grant,,,,,EASME - EU Executive Agency for SMEs,1
BeSafe IO,https://www.crunchbase.com/organization/skycryptor,"Cloud Security, Cyber Security, Information Technology, SaaS, Software","Paris, Ile-de-France, France",European Union (EU),2015-01-01,year,,,2017-09-01,,,,Seed,,,,Seed,"Granatus Ventures, Techstars, Techstars Paris",3
adbonitas,https://www.crunchbase.com/organization/adbonitas,"Cyber Security, SaaS, Software","Cologne, Nordrhein-Westfalen, Germany",European Union (EU),2017-07-10,day,,,2017-09-15,500000,EUR,597250,Seed,500000,EUR,597250,Seed,High-Tech Gründerfonds,1
TiNC Works!,https://www.crunchbase.com/organization/tinc-works,"Application Performance Management, Cloud Computing, Cloud Infrastructure, Enterprise Software, Industrial Automation, Internet, Network Security, SaaS, Software, Virtualization","The Hague, Zuid-Holland, The Netherlands",European Union (EU),2016-12-09,day,,,2017-09-01,250000,EUR,296547,Pre-Seed,250000,EUR,296547,Seed,,
PrivyID,https://www.crunchbase.com/organization/privyid,"Digital Signage, Identity Management","Kedoya Selatan, Jakarta Raya, Indonesia","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2016-01-01,year,,,2018-03-29,3000000,USD,3000000,Series A,3000000,USD,3000000,Early Stage Venture,"Gunung Sewu Group, Mahanusa Capital, Mandiri Capital Indonesia (MCI), MDI Ventures",4
